"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
"10100","794","900","247","123","943","381","1325","115","254"
"10101","850","824","270","159","1004","241","1208","132","334"
"10102","1242","1378","313","238","1441","628","2167","84","369"
"10103","1034","1158","209","185","1136","662","1939","60","193"
"10104","747","837","139","129","1013","303","1473","26","85"
"10105","1033","1196","241","269","1243","476","1966","50","213"
"10106","479","545","99","91","533","301","905","21","98"
"10107","752","807","206","137","936","280","1384","71","104"
"10108","599","706","129","82","627","467","1178","31","96"
"10109","776","884","223","141","843","453","1368","46","246"
"10110","752","934","193","175","916","402","1406","41","239"
"10111","618","690","155","121","698","334","1081","34","193"
"10112","739","802","169","128","730","514","1399","27","115"
"10113","565","620","145","128","705","207","958","53","174"
"10114","709","769","197","135","854","292","1155","50","273"
"10115","666","746","149","110","792","361","1145","68","199"
"10116","858","1020","245","136","1002","495","1507","86","285"
"10117","599","676","131","105","636","403","1107","37","131"
"10118","466","532","124","98","464","312","935","10","53"
"10119","528","632","126","80","635","319","969","25","166"
"10120","655","807","152","154","812","344","1160","65","237"
"10121","737","841","218","121","916","323","1292","67","219"
"10122","710","773","134","139","800","410","1345","30","108"
"10123","654","703","153","131","699","374","1180","51","126"
"10124","530","575","129","95","616","265","990","21","94"
"10125","518","553","116","91","513","351","955","20","96"
"10126","487","533","97","97","536","290","925","4","91"
"10127","495","506","160","100","557","184","910","22","69"
"10128","725","854","167","116","800","496","1451","29","99"
"10129","561","603","92","129","649","294","1069","14","81"
"10130","567","626","133","94","646","320","986","49","158"
"10131","523","603","80","87","618","341","1048","10","68"
"10132","584","687","161","104","651","355","1066","27","178"
"10133","812","910","185","152","859","526","1407","64","251"
"10134","682","879","179","133","776","473","1315","51","195"
"10135","596","653","181","110","616","342","1071","28","150"
"10136","638","726","136","125","627","476","1179","19","166"
"10137","774","818","176","145","838","433","1318","48","226"
"10138","762","856","233","158","922","305","1294","51","273"
"10139","825","886","220","148","944","399","1305","45","361"
"10140","813","878","200","180","945","366","1288","39","364"
"10141","541","592","142","111","591","289","991","22","120"
"10142","784","846","207","146","925","352","1319","41","270"
"10143","818","916","204","191","941","398","1407","52","275"
"10234","847","1019","178","168","1042","478","1601","75","190"
"10235","620","702","142","82","699","399","1094","72","156"
"10236","756","858","157","115","764","578","1334","86","194"
"10237","419","512","103","90","521","217","774","26","131"
