Municipalities;Indicadores de renta media;Period;Total
0800501001 Ametlla del Vallès, L' sección 01001;Índice de Gini;2017;32.6
0800501001 Ametlla del Vallès, L' sección 01001;Índice de Gini;2016;33.4
0800501001 Ametlla del Vallès, L' sección 01001;Índice de Gini;2015;33.4
0800501001 Ametlla del Vallès, L' sección 01001;Distribución de la renta P80/P20;2017;2.7
0800501001 Ametlla del Vallès, L' sección 01001;Distribución de la renta P80/P20;2016;2.8
0800501001 Ametlla del Vallès, L' sección 01001;Distribución de la renta P80/P20;2015;2.8
0800501002 Ametlla del Vallès, L' sección 01002;Índice de Gini;2017;36.2
0800501002 Ametlla del Vallès, L' sección 01002;Índice de Gini;2016;39.1
0800501002 Ametlla del Vallès, L' sección 01002;Índice de Gini;2015;38.4
0800501002 Ametlla del Vallès, L' sección 01002;Distribución de la renta P80/P20;2017;3.0
0800501002 Ametlla del Vallès, L' sección 01002;Distribución de la renta P80/P20;2016;3.3
0800501002 Ametlla del Vallès, L' sección 01002;Distribución de la renta P80/P20;2015;3.1
0800501003 Ametlla del Vallès, L' sección 01003;Índice de Gini;2017;34.7
0800501003 Ametlla del Vallès, L' sección 01003;Índice de Gini;2016;35.1
0800501003 Ametlla del Vallès, L' sección 01003;Índice de Gini;2015;36.1
0800501003 Ametlla del Vallès, L' sección 01003;Distribución de la renta P80/P20;2017;2.9
0800501003 Ametlla del Vallès, L' sección 01003;Distribución de la renta P80/P20;2016;2.8
0800501003 Ametlla del Vallès, L' sección 01003;Distribución de la renta P80/P20;2015;3.1
0800501004 Ametlla del Vallès, L' sección 01004;Índice de Gini;2017;34.6
0800501004 Ametlla del Vallès, L' sección 01004;Índice de Gini;2016;34.8
0800501004 Ametlla del Vallès, L' sección 01004;Índice de Gini;2015;36.0
0800501004 Ametlla del Vallès, L' sección 01004;Distribución de la renta P80/P20;2017;2.6
0800501004 Ametlla del Vallès, L' sección 01004;Distribución de la renta P80/P20;2016;2.7
0800501004 Ametlla del Vallès, L' sección 01004;Distribución de la renta P80/P20;2015;2.7
08006 Arenys de Mar;Índice de Gini;2017;32.8
08006 Arenys de Mar;Índice de Gini;2016;34.0
08006 Arenys de Mar;Índice de Gini;2015;33.7
08006 Arenys de Mar;Distribución de la renta P80/P20;2017;2.9
08006 Arenys de Mar;Distribución de la renta P80/P20;2016;2.9
08006 Arenys de Mar;Distribución de la renta P80/P20;2015;2.9
0800601 Arenys de Mar distrito 01;Índice de Gini;2017;33.5
0800601 Arenys de Mar distrito 01;Índice de Gini;2016;34.3
0800601 Arenys de Mar distrito 01;Índice de Gini;2015;33.3
0800601 Arenys de Mar distrito 01;Distribución de la renta P80/P20;2017;2.9
0800601 Arenys de Mar distrito 01;Distribución de la renta P80/P20;2016;3.1
0800601 Arenys de Mar distrito 01;Distribución de la renta P80/P20;2015;3.0
0800601001 Arenys de Mar sección 01001;Índice de Gini;2017;33.2
0800601001 Arenys de Mar sección 01001;Índice de Gini;2016;34.2
0800601001 Arenys de Mar sección 01001;Índice de Gini;2015;33.6
0800601001 Arenys de Mar sección 01001;Distribución de la renta P80/P20;2017;2.8
0800601001 Arenys de Mar sección 01001;Distribución de la renta P80/P20;2016;2.9
0800601001 Arenys de Mar sección 01001;Distribución de la renta P80/P20;2015;2.9
0800601002 Arenys de Mar sección 01002;Índice de Gini;2017;32.0
0800601002 Arenys de Mar sección 01002;Índice de Gini;2016;31.7
0800601002 Arenys de Mar sección 01002;Índice de Gini;2015;30.5
0800601002 Arenys de Mar sección 01002;Distribución de la renta P80/P20;2017;2.8
0800601002 Arenys de Mar sección 01002;Distribución de la renta P80/P20;2016;3.0
0800601002 Arenys de Mar sección 01002;Distribución de la renta P80/P20;2015;3.0
0800601003 Arenys de Mar sección 01003;Índice de Gini;2017;31.2
0800601003 Arenys de Mar sección 01003;Índice de Gini;2016;32.2
0800601003 Arenys de Mar sección 01003;Índice de Gini;2015;30.4
