Municipalities;Indicadores de renta media;Period;Total
0813602 Montornès del Vallès distrito 02;Distribución de la renta P80/P20;2015;4.1
0813602003 Montornès del Vallès sección 02003;Índice de Gini;2017;35.8
0813602003 Montornès del Vallès sección 02003;Índice de Gini;2016;37.0
0813602003 Montornès del Vallès sección 02003;Índice de Gini;2015;37.4
0813602003 Montornès del Vallès sección 02003;Distribución de la renta P80/P20;2017;3.7
0813602003 Montornès del Vallès sección 02003;Distribución de la renta P80/P20;2016;3.5
0813602003 Montornès del Vallès sección 02003;Distribución de la renta P80/P20;2015;3.9
0813602002 Montornès del Vallès sección 02002;Índice de Gini;2017;26.2
0813602002 Montornès del Vallès sección 02002;Índice de Gini;2016;28.4
0813602002 Montornès del Vallès sección 02002;Índice de Gini;2015;29.2
0813602002 Montornès del Vallès sección 02002;Distribución de la renta P80/P20;2017;2.3
0813602002 Montornès del Vallès sección 02002;Distribución de la renta P80/P20;2016;2.5
0813602002 Montornès del Vallès sección 02002;Distribución de la renta P80/P20;2015;3.0
0813602001 Montornès del Vallès sección 02001;Índice de Gini;2017;33.8
0813602001 Montornès del Vallès sección 02001;Índice de Gini;2016;32.6
0813602001 Montornès del Vallès sección 02001;Índice de Gini;2015;38.0
0813602001 Montornès del Vallès sección 02001;Distribución de la renta P80/P20;2017;3.3
0813602001 Montornès del Vallès sección 02001;Distribución de la renta P80/P20;2016;2.6
0813602001 Montornès del Vallès sección 02001;Distribución de la renta P80/P20;2015;3.7
08137 Montseny;Índice de Gini;2017;36.0
08137 Montseny;Índice de Gini;2016;36.9
08137 Montseny;Índice de Gini;2015;39.6
08137 Montseny;Distribución de la renta P80/P20;2017;2.7
08137 Montseny;Distribución de la renta P80/P20;2016;2.8
08137 Montseny;Distribución de la renta P80/P20;2015;3.0
0813701 Montseny distrito 01;Índice de Gini;2017;36.0
0813701 Montseny distrito 01;Índice de Gini;2016;36.9
0813701 Montseny distrito 01;Índice de Gini;2015;39.6
0813701 Montseny distrito 01;Distribución de la renta P80/P20;2017;2.7
0813701 Montseny distrito 01;Distribución de la renta P80/P20;2016;2.8
0813701 Montseny distrito 01;Distribución de la renta P80/P20;2015;3.0
0813701001 Montseny sección 01001;Índice de Gini;2017;36.0
0813701001 Montseny sección 01001;Índice de Gini;2016;36.9
0813701001 Montseny sección 01001;Índice de Gini;2015;39.6
0813701001 Montseny sección 01001;Distribución de la renta P80/P20;2017;2.7
0813701001 Montseny sección 01001;Distribución de la renta P80/P20;2016;2.8
0813701001 Montseny sección 01001;Distribución de la renta P80/P20;2015;3.0
08129 Muntanyola;Índice de Gini;2017;26.8
08129 Muntanyola;Índice de Gini;2016;27.7
08129 Muntanyola;Índice de Gini;2015;29.5
08129 Muntanyola;Distribución de la renta P80/P20;2017;2.3
08129 Muntanyola;Distribución de la renta P80/P20;2016;2.5
08129 Muntanyola;Distribución de la renta P80/P20;2015;2.7
0812901 Muntanyola distrito 01;Índice de Gini;2017;26.8
0812901 Muntanyola distrito 01;Índice de Gini;2016;27.7
0812901 Muntanyola distrito 01;Índice de Gini;2015;29.5
0812901 Muntanyola distrito 01;Distribución de la renta P80/P20;2017;2.3
0812901 Muntanyola distrito 01;Distribución de la renta P80/P20;2016;2.5
0812901 Muntanyola distrito 01;Distribución de la renta P80/P20;2015;2.7
0812901001 Muntanyola sección 01001;Índice de Gini;2017;26.8
0812901001 Muntanyola sección 01001;Índice de Gini;2016;27.7
0812901001 Muntanyola sección 01001;Índice de Gini;2015;29.5
0812901001 Muntanyola sección 01001;Distribución de la renta P80/P20;2017;2.3
0812901001 Muntanyola sección 01001;Distribución de la renta P80/P20;2016;2.5
0812901001 Muntanyola sección 01001;Distribución de la renta P80/P20;2015;2.7
08139 Mura;Índice de Gini;2017;27.2
08139 Mura;Índice de Gini;2016;30.0
08139 Mura;Índice de Gini;2015;31.6
08139 Mura;Distribución de la renta P80/P20;2017;2.3
08139 Mura;Distribución de la renta P80/P20;2016;2.5
08139 Mura;Distribución de la renta P80/P20;2015;2.6
0813901 Mura distrito 01;Índice de Gini;2017;27.2
0813901 Mura distrito 01;Índice de Gini;2016;30.0
0813901 Mura distrito 01;Índice de Gini;2015;31.6
0813901 Mura distrito 01;Distribución de la renta P80/P20;2017;2.3
0813901 Mura distrito 01;Distribución de la renta P80/P20;2016;2.5
0813901 Mura distrito 01;Distribución de la renta P80/P20;2015;2.6
0813901001 Mura sección 01001;Índice de Gini;2017;27.2
0813901001 Mura sección 01001;Índice de Gini;2016;30.0
0813901001 Mura sección 01001;Índice de Gini;2015;31.6
0813901001 Mura sección 01001;Distribución de la renta P80/P20;2017;2.3
0813901001 Mura sección 01001;Distribución de la renta P80/P20;2016;2.5
0813901001 Mura sección 01001;Distribución de la renta P80/P20;2015;2.6
08140 Navarcles;Índice de Gini;2017;25.9
08140 Navarcles;Índice de Gini;2016;26.3
08140 Navarcles;Índice de Gini;2015;27.0
08140 Navarcles;Distribución de la renta P80/P20;2017;2.1
08140 Navarcles;Distribución de la renta P80/P20;2016;2.2
08140 Navarcles;Distribución de la renta P80/P20;2015;2.2
0814001 Navarcles distrito 01;Índice de Gini;2017;25.9
0814001 Navarcles distrito 01;Índice de Gini;2016;26.3
0814001 Navarcles distrito 01;Índice de Gini;2015;27.0
0814001 Navarcles distrito 01;Distribución de la renta P80/P20;2017;2.1
0814001 Navarcles distrito 01;Distribución de la renta P80/P20;2016;2.2
0814001 Navarcles distrito 01;Distribución de la renta P80/P20;2015;2.2
0814001003 Navarcles sección 01003;Índice de Gini;2017;25.8
0814001003 Navarcles sección 01003;Índice de Gini;2016;25.9
0814001003 Navarcles sección 01003;Índice de Gini;2015;26.1
0814001003 Navarcles sección 01003;Distribución de la renta P80/P20;2017;2.1
0814001003 Navarcles sección 01003;Distribución de la renta P80/P20;2016;2.1
0814001003 Navarcles sección 01003;Distribución de la renta P80/P20;2015;2.2
0814001001 Navarcles sección 01001;Índice de Gini;2017;25.2
0814001001 Navarcles sección 01001;Índice de Gini;2016;26.5
0814001001 Navarcles sección 01001;Índice de Gini;2015;26.8
0814001001 Navarcles sección 01001;Distribución de la renta P80/P20;2017;2.2
0814001001 Navarcles sección 01001;Distribución de la renta P80/P20;2016;2.2
0814001001 Navarcles sección 01001;Distribución de la renta P80/P20;2015;2.3
0814001002 Navarcles sección 01002;Índice de Gini;2017;25.9
0814001002 Navarcles sección 01002;Índice de Gini;2016;26.2
0814001002 Navarcles sección 01002;Índice de Gini;2015;27.2
0814001002 Navarcles sección 01002;Distribución de la renta P80/P20;2017;2.1
0814001002 Navarcles sección 01002;Distribución de la renta P80/P20;2016;2.1
0814001002 Navarcles sección 01002;Distribución de la renta P80/P20;2015;2.2
08141 Navàs;Índice de Gini;2017;26.7
08141 Navàs;Índice de Gini;2016;28.0
08141 Navàs;Índice de Gini;2015;28.5
08141 Navàs;Distribución de la renta P80/P20;2017;2.4
08141 Navàs;Distribución de la renta P80/P20;2016;2.4
08141 Navàs;Distribución de la renta P80/P20;2015;2.5
0814102 Navàs distrito 02;Índice de Gini;2017;28.7
0814102 Navàs distrito 02;Índice de Gini;2016;29.9
0814102 Navàs distrito 02;Índice de Gini;2015;28.1
0814102 Navàs distrito 02;Distribución de la renta P80/P20;2017;2.8
0814102 Navàs distrito 02;Distribución de la renta P80/P20;2016;2.5
0814102 Navàs distrito 02;Distribución de la renta P80/P20;2015;2.3
0814102001 Navàs sección 02001;Índice de Gini;2017;28.7
0814102001 Navàs sección 02001;Índice de Gini;2016;29.9
0814102001 Navàs sección 02001;Índice de Gini;2015;28.1
0814102001 Navàs sección 02001;Distribución de la renta P80/P20;2017;2.8
0814102001 Navàs sección 02001;Distribución de la renta P80/P20;2016;2.5
0814102001 Navàs sección 02001;Distribución de la renta P80/P20;2015;2.3
0814101 Navàs distrito 01;Índice de Gini;2017;26.6
0814101 Navàs distrito 01;Índice de Gini;2016;27.9
0814101 Navàs distrito 01;Índice de Gini;2015;28.5
0814101 Navàs distrito 01;Distribución de la renta P80/P20;2017;2.4
0814101 Navàs distrito 01;Distribución de la renta P80/P20;2016;2.4
0814101 Navàs distrito 01;Distribución de la renta P80/P20;2015;2.5
0814101003 Navàs sección 01003;Índice de Gini;2017;24.8
0814101003 Navàs sección 01003;Índice de Gini;2016;26.7
0814101003 Navàs sección 01003;Índice de Gini;2015;26.9
0814101003 Navàs sección 01003;Distribución de la renta P80/P20;2017;2.2
0814101003 Navàs sección 01003;Distribución de la renta P80/P20;2016;2.4
0814101003 Navàs sección 01003;Distribución de la renta P80/P20;2015;2.5
0814101002 Navàs sección 01002;Índice de Gini;2017;26.0
0814101002 Navàs sección 01002;Índice de Gini;2016;27.2
0814101002 Navàs sección 01002;Índice de Gini;2015;28.7
0814101002 Navàs sección 01002;Distribución de la renta P80/P20;2017;2.2
0814101002 Navàs sección 01002;Distribución de la renta P80/P20;2016;2.4
0814101002 Navàs sección 01002;Distribución de la renta P80/P20;2015;2.4
0814101004 Navàs sección 01004;Índice de Gini;2017;28.4
0814101004 Navàs sección 01004;Índice de Gini;2016;29.2
0814101004 Navàs sección 01004;Índice de Gini;2015;30.7
0814101004 Navàs sección 01004;Distribución de la renta P80/P20;2017;2.5
0814101004 Navàs sección 01004;Distribución de la renta P80/P20;2016;2.6
0814101004 Navàs sección 01004;Distribución de la renta P80/P20;2015;2.6
0814101001 Navàs sección 01001;Índice de Gini;2017;27.8
0814101001 Navàs sección 01001;Índice de Gini;2016;28.6
0814101001 Navàs sección 01001;Índice de Gini;2015;29.4
0814101001 Navàs sección 01001;Distribución de la renta P80/P20;2017;2.4
0814101001 Navàs sección 01001;Distribución de la renta P80/P20;2016;2.4
0814101001 Navàs sección 01001;Distribución de la renta P80/P20;2015;2.6
08142 Nou de Berguedà, La;Índice de Gini;2017;22.1
08142 Nou de Berguedà, La;Índice de Gini;2016;21.8
08142 Nou de Berguedà, La;Índice de Gini;2015;23.8
08142 Nou de Berguedà, La;Distribución de la renta P80/P20;2017;1.8
08142 Nou de Berguedà, La;Distribución de la renta P80/P20;2016;1.9
08142 Nou de Berguedà, La;Distribución de la renta P80/P20;2015;2.3
0814201 Nou de Berguedà, La distrito 01;Índice de Gini;2017;22.1
0814201 Nou de Berguedà, La distrito 01;Índice de Gini;2016;21.8
0814201 Nou de Berguedà, La distrito 01;Índice de Gini;2015;23.8
0814201 Nou de Berguedà, La distrito 01;Distribución de la renta P80/P20;2017;1.8
0814201 Nou de Berguedà, La distrito 01;Distribución de la renta P80/P20;2016;1.9
0814201 Nou de Berguedà, La distrito 01;Distribución de la renta P80/P20;2015;2.3
0814201001 Nou de Berguedà, La sección 01001;Índice de Gini;2017;22.1
0814201001 Nou de Berguedà, La sección 01001;Índice de Gini;2016;21.8
0814201001 Nou de Berguedà, La sección 01001;Índice de Gini;2015;23.8
0814201001 Nou de Berguedà, La sección 01001;Distribución de la renta P80/P20;2017;1.8
0814201001 Nou de Berguedà, La sección 01001;Distribución de la renta P80/P20;2016;1.9
0814201001 Nou de Berguedà, La sección 01001;Distribución de la renta P80/P20;2015;2.3
08143 Òdena;Índice de Gini;2017;27.2
08143 Òdena;Índice de Gini;2016;29.4
08143 Òdena;Índice de Gini;2015;28.4
08143 Òdena;Distribución de la renta P80/P20;2017;2.2
08143 Òdena;Distribución de la renta P80/P20;2016;2.4
08143 Òdena;Distribución de la renta P80/P20;2015;2.3
0814301 Òdena distrito 01;Índice de Gini;2017;27.2
0814301 Òdena distrito 01;Índice de Gini;2016;29.4
0814301 Òdena distrito 01;Índice de Gini;2015;28.4
0814301 Òdena distrito 01;Distribución de la renta P80/P20;2017;2.2
0814301 Òdena distrito 01;Distribución de la renta P80/P20;2016;2.4
0814301 Òdena distrito 01;Distribución de la renta P80/P20;2015;2.3
0814301001 Òdena sección 01001;Índice de Gini;2017;27.6
0814301001 Òdena sección 01001;Índice de Gini;2016;29.9
0814301001 Òdena sección 01001;Índice de Gini;2015;28.5
0814301001 Òdena sección 01001;Distribución de la renta P80/P20;2017;2.2
0814301001 Òdena sección 01001;Distribución de la renta P80/P20;2016;2.3
0814301001 Òdena sección 01001;Distribución de la renta P80/P20;2015;2.4
0814301002 Òdena sección 01002;Índice de Gini;2017;26.2
0814301002 Òdena sección 01002;Índice de Gini;2016;27.2
0814301002 Òdena sección 01002;Índice de Gini;2015;27.9
0814301002 Òdena sección 01002;Distribución de la renta P80/P20;2017;2.2
0814301002 Òdena sección 01002;Distribución de la renta P80/P20;2016;2.2
0814301002 Òdena sección 01002;Distribución de la renta P80/P20;2015;2.4
08145 Olèrdola;Índice de Gini;2017;28.8
08145 Olèrdola;Índice de Gini;2016;30.6
08145 Olèrdola;Índice de Gini;2015;29.8
08145 Olèrdola;Distribución de la renta P80/P20;2017;2.5
08145 Olèrdola;Distribución de la renta P80/P20;2016;2.4
08145 Olèrdola;Distribución de la renta P80/P20;2015;2.6
0814501 Olèrdola distrito 01;Índice de Gini;2017;28.8
0814501 Olèrdola distrito 01;Índice de Gini;2016;30.6
0814501 Olèrdola distrito 01;Índice de Gini;2015;29.8
0814501 Olèrdola distrito 01;Distribución de la renta P80/P20;2017;2.5
0814501 Olèrdola distrito 01;Distribución de la renta P80/P20;2016;2.4
0814501 Olèrdola distrito 01;Distribución de la renta P80/P20;2015;2.6
0814501001 Olèrdola sección 01001;Índice de Gini;2017;28.9
0814501001 Olèrdola sección 01001;Índice de Gini;2016;30.7
0814501001 Olèrdola sección 01001;Índice de Gini;2015;29.8
0814501001 Olèrdola sección 01001;Distribución de la renta P80/P20;2017;2.5
0814501001 Olèrdola sección 01001;Distribución de la renta P80/P20;2016;2.6
0814501001 Olèrdola sección 01001;Distribución de la renta P80/P20;2015;2.4
0814501002 Olèrdola sección 01002;Índice de Gini;2017;29.5
0814501002 Olèrdola sección 01002;Índice de Gini;2016;31.1
0814501002 Olèrdola sección 01002;Índice de Gini;2015;30.2
0814501002 Olèrdola sección 01002;Distribución de la renta P80/P20;2017;2.2
0814501002 Olèrdola sección 01002;Distribución de la renta P80/P20;2016;2.3
0814501002 Olèrdola sección 01002;Distribución de la renta P80/P20;2015;2.3
08146 Olesa de Bonesvalls;Índice de Gini;2017;30.2
08146 Olesa de Bonesvalls;Índice de Gini;2016;31.0
08146 Olesa de Bonesvalls;Índice de Gini;2015;31.8
08146 Olesa de Bonesvalls;Distribución de la renta P80/P20;2017;2.6
08146 Olesa de Bonesvalls;Distribución de la renta P80/P20;2016;2.7
08146 Olesa de Bonesvalls;Distribución de la renta P80/P20;2015;2.8
0814601 Olesa de Bonesvalls distrito 01;Índice de Gini;2017;30.2
0814601 Olesa de Bonesvalls distrito 01;Índice de Gini;2016;31.0
0814601 Olesa de Bonesvalls distrito 01;Índice de Gini;2015;31.8
0814601 Olesa de Bonesvalls distrito 01;Distribución de la renta P80/P20;2017;2.6
0814601 Olesa de Bonesvalls distrito 01;Distribución de la renta P80/P20;2016;2.7
0814601 Olesa de Bonesvalls distrito 01;Distribución de la renta P80/P20;2015;2.8
0814601002 Olesa de Bonesvalls sección 01002;Índice de Gini;2017;28.7
0814601002 Olesa de Bonesvalls sección 01002;Índice de Gini;2016;29.3
0814601002 Olesa de Bonesvalls sección 01002;Índice de Gini;2015;30.1
0814601002 Olesa de Bonesvalls sección 01002;Distribución de la renta P80/P20;2017;2.6
0814601002 Olesa de Bonesvalls sección 01002;Distribución de la renta P80/P20;2016;2.6
0814601002 Olesa de Bonesvalls sección 01002;Distribución de la renta P80/P20;2015;3.0
0814601001 Olesa de Bonesvalls sección 01001;Índice de Gini;2017;32.5
0814601001 Olesa de Bonesvalls sección 01001;Índice de Gini;2016;33.0
0814601001 Olesa de Bonesvalls sección 01001;Índice de Gini;2015;33.6
0814601001 Olesa de Bonesvalls sección 01001;Distribución de la renta P80/P20;2017;2.5
0814601001 Olesa de Bonesvalls sección 01001;Distribución de la renta P80/P20;2016;2.8
0814601001 Olesa de Bonesvalls sección 01001;Distribución de la renta P80/P20;2015;2.6
08147 Olesa de Montserrat;Índice de Gini;2017;27.9
08147 Olesa de Montserrat;Índice de Gini;2016;29.0
08147 Olesa de Montserrat;Índice de Gini;2015;30.0
08147 Olesa de Montserrat;Distribución de la renta P80/P20;2017;2.4
08147 Olesa de Montserrat;Distribución de la renta P80/P20;2016;2.4
08147 Olesa de Montserrat;Distribución de la renta P80/P20;2015;2.6
0814701 Olesa de Montserrat distrito 01;Índice de Gini;2017;27.9
0814701 Olesa de Montserrat distrito 01;Índice de Gini;2016;29.0
0814701 Olesa de Montserrat distrito 01;Índice de Gini;2015;30.0
0814701 Olesa de Montserrat distrito 01;Distribución de la renta P80/P20;2017;2.4
0814701 Olesa de Montserrat distrito 01;Distribución de la renta P80/P20;2016;2.4
0814701 Olesa de Montserrat distrito 01;Distribución de la renta P80/P20;2015;2.6
0814701009 Olesa de Montserrat sección 01009;Índice de Gini;2017;25.6
0814701009 Olesa de Montserrat sección 01009;Índice de Gini;2016;25.8
0814701009 Olesa de Montserrat sección 01009;Índice de Gini;2015;27.2
0814701009 Olesa de Montserrat sección 01009;Distribución de la renta P80/P20;2017;2.1
0814701009 Olesa de Montserrat sección 01009;Distribución de la renta P80/P20;2016;2.2
0814701009 Olesa de Montserrat sección 01009;Distribución de la renta P80/P20;2015;2.3
0814701005 Olesa de Montserrat sección 01005;Índice de Gini;2017;27.2
0814701005 Olesa de Montserrat sección 01005;Índice de Gini;2016;28.0
0814701005 Olesa de Montserrat sección 01005;Índice de Gini;2015;28.3
0814701005 Olesa de Montserrat sección 01005;Distribución de la renta P80/P20;2017;2.3
0814701005 Olesa de Montserrat sección 01005;Distribución de la renta P80/P20;2016;2.4
0814701005 Olesa de Montserrat sección 01005;Distribución de la renta P80/P20;2015;2.4
0814701006 Olesa de Montserrat sección 01006;Índice de Gini;2017;26.4
0814701006 Olesa de Montserrat sección 01006;Índice de Gini;2016;28.0
0814701006 Olesa de Montserrat sección 01006;Índice de Gini;2015;30.3
0814701006 Olesa de Montserrat sección 01006;Distribución de la renta P80/P20;2017;2.3
0814701006 Olesa de Montserrat sección 01006;Distribución de la renta P80/P20;2016;2.4
0814701006 Olesa de Montserrat sección 01006;Distribución de la renta P80/P20;2015;2.7
0814701008 Olesa de Montserrat sección 01008;Índice de Gini;2017;27.9
0814701008 Olesa de Montserrat sección 01008;Índice de Gini;2016;28.4
0814701008 Olesa de Montserrat sección 01008;Índice de Gini;2015;30.2
0814701008 Olesa de Montserrat sección 01008;Distribución de la renta P80/P20;2017;2.4
0814701008 Olesa de Montserrat sección 01008;Distribución de la renta P80/P20;2016;2.6
0814701008 Olesa de Montserrat sección 01008;Distribución de la renta P80/P20;2015;2.8
0814701010 Olesa de Montserrat sección 01010;Índice de Gini;2017;26.2
0814701010 Olesa de Montserrat sección 01010;Índice de Gini;2016;27.6
0814701010 Olesa de Montserrat sección 01010;Índice de Gini;2015;28.8
0814701010 Olesa de Montserrat sección 01010;Distribución de la renta P80/P20;2017;2.3
0814701010 Olesa de Montserrat sección 01010;Distribución de la renta P80/P20;2016;2.5
0814701010 Olesa de Montserrat sección 01010;Distribución de la renta P80/P20;2015;2.5
0814701001 Olesa de Montserrat sección 01001;Índice de Gini;2017;29.0
0814701001 Olesa de Montserrat sección 01001;Índice de Gini;2016;29.4
0814701001 Olesa de Montserrat sección 01001;Índice de Gini;2015;30.9
0814701001 Olesa de Montserrat sección 01001;Distribución de la renta P80/P20;2017;2.5
0814701001 Olesa de Montserrat sección 01001;Distribución de la renta P80/P20;2016;2.5
0814701001 Olesa de Montserrat sección 01001;Distribución de la renta P80/P20;2015;2.5
0814701002 Olesa de Montserrat sección 01002;Índice de Gini;2017;30.1
0814701002 Olesa de Montserrat sección 01002;Índice de Gini;2016;30.1
0814701002 Olesa de Montserrat sección 01002;Índice de Gini;2015;31.0
0814701002 Olesa de Montserrat sección 01002;Distribución de la renta P80/P20;2017;2.6
0814701002 Olesa de Montserrat sección 01002;Distribución de la renta P80/P20;2016;2.7
0814701002 Olesa de Montserrat sección 01002;Distribución de la renta P80/P20;2015;2.8
0814701003 Olesa de Montserrat sección 01003;Índice de Gini;2017;31.3
0814701003 Olesa de Montserrat sección 01003;Índice de Gini;2016;32.8
0814701003 Olesa de Montserrat sección 01003;Índice de Gini;2015;32.1
0814701003 Olesa de Montserrat sección 01003;Distribución de la renta P80/P20;2017;2.9
0814701003 Olesa de Montserrat sección 01003;Distribución de la renta P80/P20;2016;3.3
0814701003 Olesa de Montserrat sección 01003;Distribución de la renta P80/P20;2015;3.1
0814701011 Olesa de Montserrat sección 01011;Índice de Gini;2017;26.0
0814701011 Olesa de Montserrat sección 01011;Índice de Gini;2016;27.9
0814701011 Olesa de Montserrat sección 01011;Índice de Gini;2015;28.0
0814701011 Olesa de Montserrat sección 01011;Distribución de la renta P80/P20;2017;2.3
0814701011 Olesa de Montserrat sección 01011;Distribución de la renta P80/P20;2016;2.4
0814701011 Olesa de Montserrat sección 01011;Distribución de la renta P80/P20;2015;2.4
0814701004 Olesa de Montserrat sección 01004;Índice de Gini;2017;28.0
0814701004 Olesa de Montserrat sección 01004;Índice de Gini;2016;28.6
0814701004 Olesa de Montserrat sección 01004;Índice de Gini;2015;29.7
0814701004 Olesa de Montserrat sección 01004;Distribución de la renta P80/P20;2017;2.3
0814701004 Olesa de Montserrat sección 01004;Distribución de la renta P80/P20;2016;2.3
0814701004 Olesa de Montserrat sección 01004;Distribución de la renta P80/P20;2015;2.4
0814701007 Olesa de Montserrat sección 01007;Índice de Gini;2017;29.1
0814701007 Olesa de Montserrat sección 01007;Índice de Gini;2016;30.9
0814701007 Olesa de Montserrat sección 01007;Índice de Gini;2015;30.8
0814701007 Olesa de Montserrat sección 01007;Distribución de la renta P80/P20;2017;2.6
0814701007 Olesa de Montserrat sección 01007;Distribución de la renta P80/P20;2016;2.8
0814701007 Olesa de Montserrat sección 01007;Distribución de la renta P80/P20;2015;2.8
08148 Olivella;Índice de Gini;2017;35.1
08148 Olivella;Índice de Gini;2016;36.2
08148 Olivella;Índice de Gini;2015;36.2
08148 Olivella;Distribución de la renta P80/P20;2017;3.0
08148 Olivella;Distribución de la renta P80/P20;2016;3.3
08148 Olivella;Distribución de la renta P80/P20;2015;2.9
0814801 Olivella distrito 01;Índice de Gini;2017;35.1
0814801 Olivella distrito 01;Índice de Gini;2016;36.2
0814801 Olivella distrito 01;Índice de Gini;2015;36.2
0814801 Olivella distrito 01;Distribución de la renta P80/P20;2017;3.0
0814801 Olivella distrito 01;Distribución de la renta P80/P20;2016;3.3
0814801 Olivella distrito 01;Distribución de la renta P80/P20;2015;2.9
0814801002 Olivella sección 01002;Índice de Gini;2017;35.3
0814801002 Olivella sección 01002;Índice de Gini;2016;36.7
0814801002 Olivella sección 01002;Índice de Gini;2015;37.5
0814801002 Olivella sección 01002;Distribución de la renta P80/P20;2017;3.2
0814801002 Olivella sección 01002;Distribución de la renta P80/P20;2016;3.1
0814801002 Olivella sección 01002;Distribución de la renta P80/P20;2015;3.0
0814801001 Olivella sección 01001;Índice de Gini;2017;34.6
0814801001 Olivella sección 01001;Índice de Gini;2016;35.2
0814801001 Olivella sección 01001;Índice de Gini;2015;34.3
0814801001 Olivella sección 01001;Distribución de la renta P80/P20;2017;3.1
0814801001 Olivella sección 01001;Distribución de la renta P80/P20;2016;3.3
0814801001 Olivella sección 01001;Distribución de la renta P80/P20;2015;3.0
08149 Olost;Índice de Gini;2017;27.9
08149 Olost;Índice de Gini;2016;28.1
08149 Olost;Índice de Gini;2015;29.2
08149 Olost;Distribución de la renta P80/P20;2017;2.2
08149 Olost;Distribución de la renta P80/P20;2016;2.2
08149 Olost;Distribución de la renta P80/P20;2015;2.3
0814901 Olost distrito 01;Índice de Gini;2017;27.9
0814901 Olost distrito 01;Índice de Gini;2016;28.1
0814901 Olost distrito 01;Índice de Gini;2015;29.2
0814901 Olost distrito 01;Distribución de la renta P80/P20;2017;2.2
0814901 Olost distrito 01;Distribución de la renta P80/P20;2016;2.2
0814901 Olost distrito 01;Distribución de la renta P80/P20;2015;2.3
0814901001 Olost sección 01001;Índice de Gini;2017;27.9
0814901001 Olost sección 01001;Índice de Gini;2016;28.1
0814901001 Olost sección 01001;Índice de Gini;2015;29.2
0814901001 Olost sección 01001;Distribución de la renta P80/P20;2017;2.2
0814901001 Olost sección 01001;Distribución de la renta P80/P20;2016;2.2
0814901001 Olost sección 01001;Distribución de la renta P80/P20;2015;2.3
08144 Olvan;Índice de Gini;2017;25.4
08144 Olvan;Índice de Gini;2016;26.5
08144 Olvan;Índice de Gini;2015;28.0
08144 Olvan;Distribución de la renta P80/P20;2017;2.1
08144 Olvan;Distribución de la renta P80/P20;2016;2.2
08144 Olvan;Distribución de la renta P80/P20;2015;2.3
0814401 Olvan distrito 01;Índice de Gini;2017;25.4
0814401 Olvan distrito 01;Índice de Gini;2016;26.5
0814401 Olvan distrito 01;Índice de Gini;2015;28.0
0814401 Olvan distrito 01;Distribución de la renta P80/P20;2017;2.1
0814401 Olvan distrito 01;Distribución de la renta P80/P20;2016;2.2
0814401 Olvan distrito 01;Distribución de la renta P80/P20;2015;2.3
0814401001 Olvan sección 01001;Índice de Gini;2017;25.4
0814401001 Olvan sección 01001;Índice de Gini;2016;26.5
0814401001 Olvan sección 01001;Índice de Gini;2015;28.0
0814401001 Olvan sección 01001;Distribución de la renta P80/P20;2017;2.1
0814401001 Olvan sección 01001;Distribución de la renta P80/P20;2016;2.2
0814401001 Olvan sección 01001;Distribución de la renta P80/P20;2015;2.3
08150 Orís;Índice de Gini;2017;26.0
08150 Orís;Índice de Gini;2016;25.3
08150 Orís;Índice de Gini;2015;25.2
08150 Orís;Distribución de la renta P80/P20;2017;2.1
08150 Orís;Distribución de la renta P80/P20;2016;1.9
08150 Orís;Distribución de la renta P80/P20;2015;1.9
0815001 Orís distrito 01;Índice de Gini;2017;26.0
0815001 Orís distrito 01;Índice de Gini;2016;25.3
0815001 Orís distrito 01;Índice de Gini;2015;25.2
0815001 Orís distrito 01;Distribución de la renta P80/P20;2017;2.1
0815001 Orís distrito 01;Distribución de la renta P80/P20;2016;1.9
0815001 Orís distrito 01;Distribución de la renta P80/P20;2015;1.9
0815001001 Orís sección 01001;Índice de Gini;2017;26.0
0815001001 Orís sección 01001;Índice de Gini;2016;25.3
0815001001 Orís sección 01001;Índice de Gini;2015;25.2
0815001001 Orís sección 01001;Distribución de la renta P80/P20;2017;2.1
0815001001 Orís sección 01001;Distribución de la renta P80/P20;2016;1.9
0815001001 Orís sección 01001;Distribución de la renta P80/P20;2015;1.9
08151 Oristà;Índice de Gini;2017;23.6
08151 Oristà;Índice de Gini;2016;21.8
08151 Oristà;Índice de Gini;2015;23.1
08151 Oristà;Distribución de la renta P80/P20;2017;1.9
08151 Oristà;Distribución de la renta P80/P20;2016;2.0
08151 Oristà;Distribución de la renta P80/P20;2015;2.0
0815101 Oristà distrito 01;Índice de Gini;2017;23.6
0815101 Oristà distrito 01;Índice de Gini;2016;21.8
0815101 Oristà distrito 01;Índice de Gini;2015;23.1
0815101 Oristà distrito 01;Distribución de la renta P80/P20;2017;1.9
0815101 Oristà distrito 01;Distribución de la renta P80/P20;2016;2.0
0815101 Oristà distrito 01;Distribución de la renta P80/P20;2015;2.0
0815101001 Oristà sección 01001;Índice de Gini;2017;23.6
0815101001 Oristà sección 01001;Índice de Gini;2016;21.8
0815101001 Oristà sección 01001;Índice de Gini;2015;23.1
0815101001 Oristà sección 01001;Distribución de la renta P80/P20;2017;1.9
0815101001 Oristà sección 01001;Distribución de la renta P80/P20;2016;2.0
0815101001 Oristà sección 01001;Distribución de la renta P80/P20;2015;2.0
08152 Orpí;Índice de Gini;2017;31.5
08152 Orpí;Índice de Gini;2016;32.7
